id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	description
ENSMUSG00000079018	86.152155651492	1.11903192655652	0.19237783635309	5.81684432973167	5.99689407412578e-09	4.67937644604035e-05	Ly6c1	lymphocyte antigen 6 complex, locus C1 [Source:MGI Symbol;Acc:MGI:96882]
ENSMUSG00000075602	238.959815284243	1.00785370130439	0.185520741832082	5.43256614517322	5.55493521937944e-08	0.000216725797584089	Ly6a	lymphocyte antigen 6 complex, locus A [Source:MGI Symbol;Acc:MGI:107527]
ENSMUSG00000078853	230.545447335984	0.929813579430798	0.181723280917943	5.11664534524146	3.11017636818492e-07	0.000808956873364898	Igtp	interferon gamma induced GTPase [Source:MGI Symbol;Acc:MGI:107729]
ENSMUSG00000014778	31.3432641236126	-0.963236141729242	0.192210854468589	-5.01135143690157	5.40491022516468e-07	0.001054362862174	Fhod1	formin homology 2 domain containing 1 [Source:MGI Symbol;Acc:MGI:2679008]
ENSMUSG00000022390	43.8462709239584	0.898477521172329	0.192215838571903	4.67431574758721	2.94935282727178e-06	0.00460276002224034	Zc3h7b	zinc finger CCCH type containing 7B [Source:MGI Symbol;Acc:MGI:1328310]
ENSMUSG00000000884	20.1759116135692	-0.79726936775709	0.176049316529789	-4.52867062180379	5.93559409977105e-06	0.00771924012675225	Gnb1l	guanine nucleotide binding protein (G protein), beta polypeptide 1-like [Source:MGI Symbol;Acc:MGI:1338057]
ENSMUSG00000029623	287.840342275041	-0.639214563560275	0.144652648126216	-4.41896205731768	9.91760554648152e-06	0.0110552965827422	Pdap1	PDGFA associated protein 1 [Source:MGI Symbol;Acc:MGI:2448536]
ENSMUSG00000035268	17.042050069929	-0.691609180923793	0.162360880559439	-4.25970331363534	2.04698429322274e-05	0.0199657730500213	Pkig	protein kinase inhibitor, gamma [Source:MGI Symbol;Acc:MGI:1343086]
ENSMUSG00000037321	302.18021066266	0.620438486634754	0.151750894833752	4.08853263972159	4.34110472367155e-05	0.0376373779542324	Tap1	transporter 1, ATP-binding cassette, sub-family B (MDR/TAP) [Source:MGI Symbol;Acc:MGI:98483]
ENSMUSG00000037773	36.7349913936608	0.747311126733885	0.191907376033872	3.89412404139164	9.85542124608684e-05	0.0769018519832156	Pced1a	PC-esterase domain containing 1A [Source:MGI Symbol;Acc:MGI:2442177]
ENSMUSG00000062116	24.8844059703186	-0.726298697596095	0.187701277133183	-3.86943929572067	0.000109085936885119	0.0773815968649625	Zfp954	zinc finger protein 954 [Source:MGI Symbol;Acc:MGI:1917764]
ENSMUSG00000053398	68.5265054882467	0.729502337686155	0.191217000084055	3.81504958955261	0.000136155588453522	0.0863401506191206	Phgdh	3-phosphoglycerate dehydrogenase [Source:MGI Symbol;Acc:MGI:1355330]
