"id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"entrezgene"	"description"
"ENSMUSG00000028238"	3294.90447580065	-6.56060717404221	0.257327795584017	-25.4951361128813	2.23194624589366e-143	4.15677668835235e-139	"Atp6v0d2"	"242341"	"ATPase, H+ transporting, lysosomal V0 subunit D2"
"ENSMUSG00000003882"	652.367714749043	-5.36419109365303	0.213379045099187	-25.1392590643545	1.85216750793482e-139	1.7247383833889e-135	"Il7r"	"16197"	"interleukin 7 receptor"
"ENSMUSG00000050335"	8218.17058047399	-5.11960614889207	0.204610324098366	-25.0212503765491	3.58999153248213e-138	2.22866674336491e-134	"Lgals3"	"16854"	"lectin, galactose binding, soluble 3"
"ENSMUSG00000024679"	950.331654541459	-4.00489264317448	0.163095906024714	-24.5554455705811	3.7828857661869e-133	1.76131161273662e-129	"Ms4a6d"	"68774"	"membrane-spanning 4-domains, subfamily A, member 6D"
"ENSMUSG00000023992"	1515.93942382967	-5.29900346135996	0.223454876426443	-23.7139754840136	2.58728376610373e-124	9.63711457198317e-121	"Trem2"	"83433"	"triggering receptor expressed on myeloid cells 2"
"ENSMUSG00000038147"	1761.51037604486	-4.39994920508075	0.189200168119042	-23.2555248170412	1.25073846613855e-119	3.88229219889406e-116	"Cd84"	"12523"	"CD84 antigen"
"ENSMUSG00000021091"	1322.86204957861	-4.32793759699199	0.18808123531376	-23.0110015481984	3.61725790818743e-117	9.62397304029752e-114	"Serpina3n"	"20716"	"serine (or cysteine) peptidase inhibitor, clade A, member 3N"
"ENSMUSG00000069516"	57719.3206056859	-4.52042144490956	0.202429737352871	-22.3308171221389	1.85504536283271e-110	4.31854560467455e-107	"Lyz2"	"17105"	"lysozyme 2"
"ENSMUSG00000033777"	650.846960729148	-3.76014231491597	0.183379818915808	-20.5046680553344	1.95599540529101e-93	4.04760649201553e-90	"Tlr13"	"279572"	"toll-like receptor 13"
"ENSMUSG00000018774"	2337.17227342009	-4.44711789374473	0.220634500545868	-20.1560403415703	2.38198792883989e-90	4.43621431867142e-87	"Cd68"	"12514"	"CD68 antigen"
"ENSMUSG00000038642"	18733.4074481495	-4.59925097646871	0.228372573935502	-20.1392439433978	3.34401717375652e-90	5.66172507673103e-87	"Ctss"	"13040"	"cathepsin S"
"ENSMUSG00000000290"	1921.12548268495	-3.84414093062059	0.191921199670239	-20.029787940184	3.02945177836175e-89	4.70170916001743e-86	"Itgb2"	"16414"	"integrin beta 2"
"ENSMUSG00000040522"	371.730498172318	-3.43709783493935	0.173514624237467	-19.8086924951954	2.50505129633131e-87	3.58877502637494e-84	"Tlr8"	"170744"	"toll-like receptor 8"
"ENSMUSG00000018927"	3460.71474798825	-3.30066747872112	0.167671880978197	-19.6852773372914	2.88354249557413e-86	3.83593538839804e-83	"Ccl6"	"20305"	"chemokine (C-C motif) ligand 6"
"ENSMUSG00000026271"	222.732999538868	-3.79185435374845	0.193115138613318	-19.6351999173976	7.7375703292559e-86	9.60696732080413e-83	"Gpr35"	"64095"	"G protein-coupled receptor 35"
"ENSMUSG00000005413"	1056.7949464359	-3.95831157925716	0.201690364239373	-19.6256851148293	9.33107030678017e-86	1.08613658370921e-82	"Hmox1"	"15368"	"heme oxygenase 1"
"ENSMUSG00000035004"	784.859522004569	-3.60431409452914	0.185146866206583	-19.4673243375749	2.07848474721911e-84	2.27704117248286e-81	"Igsf6"	"80719"	"immunoglobulin superfamily, member 6"
"ENSMUSG00000025473"	863.879460977777	-4.53198869903987	0.233940220992217	-19.3724220649969	1.31904163977883e-83	1.3647684166245e-80	"Adam8"	"11501"	"a disintegrin and metallopeptidase domain 8"
"ENSMUSG00000025044"	992.540801492139	-4.17268298835778	0.216057727788579	-19.312815288148	4.19092708869925e-83	4.10799084736499e-80	"Msr1"	"20288"	"macrophage scavenger receptor 1"
"ENSMUSG00000025877"	719.274163089391	-4.67574932969957	0.24273800733049	-19.2625348667936	1.10818367661881e-82	1.03194063966744e-79	"Hk3"	"212032"	"hexokinase 3"
"ENSMUSG00000036853"	254.087307260624	-5.89309147290294	0.307787387782942	-19.1466307809171	1.03254830297614e-81	9.15722837839407e-79	"Mcoln3"	"171166"	"mucolipin 3"
"ENSMUSG00000058818"	902.652187267492	-3.31427223579095	0.173570994171622	-19.0946203402735	2.79884667671811e-81	2.36935093214537e-78	"Pirb"	"18733"	"paired Ig-like receptor B"
"ENSMUSG00000079419"	469.730281934332	-2.73616879841078	0.143963258173356	-19.0060216275181	1.52056465847151e-80	1.23126070432058e-77	"Ms4a6c"	"73656"	"membrane-spanning 4-domains, subfamily A, member 6C"
"ENSMUSG00000023913"	1677.46922918405	-2.58399848296637	0.136046127902025	-18.9935466948921	1.92852560093837e-80	1.49653586632818e-77	"Pla2g7"	"27226"	"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)"
"ENSMUSG00000026981"	327.363520678029	-4.85029520743021	0.255566569139278	-18.9785981154167	2.5634490103169e-80	1.90966697472568e-77	"Il1rn"	"16181"	"interleukin 1 receptor antagonist"
"ENSMUSG00000089672"	872.902708680852	-4.14707387919067	0.219445523152626	-18.8979652882066	1.18536408986745e-79	8.49085415757358e-77	"Lilr4b"	"14727"	"leukocyte immunoglobulin-like receptor, subfamily B, member 4B"
