"id"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"symbol"	"entrezgene"	"description"
"ENSMUSG00000031443"	127.624877858417	2.77964459722119	0.233879460536345	11.8849453083514	1.41727812018109e-32	2.52247159829831e-28	"F7"	"14068"	"coagulation factor VII"
"ENSMUSG00000031444"	137.555059667936	2.23628372173547	0.191439027248296	11.681441103621	1.58583856488211e-31	1.41123773888859e-27	"F10"	"14058"	"coagulation factor X"
"ENSMUSG00000037664"	651.000299053864	1.39978609769816	0.150462034311961	9.30325117627954	1.36215436678217e-20	8.08120780666299e-17	"Cdkn1c"	"12577"	"cyclin-dependent kinase inhibitor 1C (P57)"
"ENSMUSG00000072596"	623.486091824021	2.04717160687408	0.223372245746161	9.16484319721831	4.96190580257916e-20	1.76623998948608e-16	"Ear2"	"13587"	"eosinophil-associated, ribonuclease A family, member 2"
"ENSMUSG00000033880"	1234.41785303354	1.38808383101275	0.151439709509592	9.16591715282465	4.91274157485753e-20	1.76623998948608e-16	"Lgals3bp"	"19039"	"lectin, galactoside-binding, soluble, 3 binding protein"
"ENSMUSG00000026012"	76.7502786188133	1.98690231175032	0.21761022228386	9.130555958711	6.81484136497144e-20	2.02150911022936e-16	"Cd28"	"12487"	"CD28 antigen"
"ENSMUSG00000031838"	814.132958541172	1.34041107261606	0.149967492575153	8.93801082887571	3.96238264338658e-19	1.00746408981421e-15	"Ifi30"	"65972"	"interferon gamma inducible protein 30"
"ENSMUSG00000027111"	843.835184379778	1.44958150957997	0.163623160543694	8.85926848475016	8.05411839607918e-19	1.79183999016772e-15	"Itga6"	"16403"	"integrin alpha 6"
"ENSMUSG00000035004"	784.859522004569	1.55796114530645	0.17758379843712	8.77310407265617	1.73807259290946e-18	3.43713511206695e-15	"Igsf6"	"80719"	"immunoglobulin superfamily, member 6"
"ENSMUSG00000026600"	1859.98910441402	1.47424085875961	0.169345764858184	8.70550769305736	3.1615631989246e-18	5.62695018144601e-15	"Soat1"	"20652"	"sterol O-acyltransferase 1"
"ENSMUSG00000027533"	7330.94242757621	1.88034334414666	0.218916765272086	8.58930718170275	8.74953062908763e-18	1.41567405578638e-14	"Fabp5"	"16592"	"fatty acid binding protein 5, epidermal"
"ENSMUSG00000030159"	634.300832130567	1.12380148558881	0.133585470302456	8.41260268084826	4.01011513009337e-17	5.94766909045014e-14	"Clec1b"	"56760"	"C-type lectin domain family 1, member b"
"ENSMUSG00000038910"	323.774396788118	1.35910797276162	0.161889355337706	8.39528930068617	4.647485038575e-17	6.36276451665829e-14	"Plcl2"	"224860"	"phospholipase C-like 2"
"ENSMUSG00000004207"	58571.0673959768	1.39601914242441	0.171007008718323	8.16352003866631	3.25399941172533e-16	4.13676296642054e-13	"Psap"	"19156"	"prosaposin"
"ENSMUSG00000016256"	7432.42046837659	1.0994962677462	0.135001907734538	8.14430170800401	3.81476949313213e-16	4.52635116258437e-13	"Ctsz"	"64138"	"cathepsin Z"
"ENSMUSG00000015243"	12810.0470595777	1.19277230708527	0.146832495248333	8.12335379214238	4.53474948235645e-16	5.04434195543626e-13	"Abca1"	"11303"	"ATP-binding cassette, sub-family A (ABC1), member 1"
"ENSMUSG00000036833"	654.658254916042	0.993562393278366	0.123076051132419	8.07275163719206	6.87313257489222e-16	7.19576550399598e-13	"Pnpla7"	"241274"	"patatin-like phospholipase domain containing 7"
"ENSMUSG00000079445"	99.4976175904616	2.17500399258613	0.271479266748816	8.0116762456064	1.13155425557991e-15	1.1188557022673e-12	"B3gnt7"	"227327"	"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7"
"ENSMUSG00000015665"	42.6735355447399	2.54749543516173	0.31870084748359	7.99337515189037	1.31293831752877e-15	1.15274878541955e-12	"Awat1"	"245533"	"acyl-CoA wax alcohol acyltransferase 1"
"ENSMUSG00000034593"	2533.78236518938	1.30959915186243	0.163924845623518	7.98902171834374	1.36013734654515e-15	1.15274878541955e-12	"Myo5a"	"17918"	"myosin VA"
"ENSMUSG00000076258"	4649.83989700811	-1.98756349989909	0.248659165658393	-7.99312381925065	1.31561877795099e-15	1.15274878541955e-12	NA	NA	NA
"ENSMUSG00000029175"	819.747386776512	0.882129612425407	0.110507242372377	7.98255022465307	1.43340452462244e-15	1.15962426041956e-12	"Slc35f6"	"74919"	"solute carrier family 35, member F6"
"ENSMUSG00000028262"	58.0258712337478	2.50673825991455	0.317366906959149	7.89854961228585	2.82167467103365e-15	2.1834854693503e-12	"Clca3a2"	"80797"	"chloride channel calcium activated 3A2"
"ENSMUSG00000038633"	2594.01616741934	0.622742340160279	0.0792359851522413	7.85933738267736	3.86170804996879e-15	2.86377832805602e-12	"Degs1"	"13244"	"degenerative spermatocyte homolog 1 (Drosophila)"
"ENSMUSG00000040713"	2926.12188821793	1.16263485624261	0.148102687762959	7.85019417138078	4.15393637167582e-15	2.95727038172345e-12	"Creg1"	"433375"	"cellular repressor of E1A-stimulated genes 1"
"ENSMUSG00000030662"	2040.89779281032	0.842744578755611	0.107799030338897	7.81773802701382	5.37809694200927e-15	3.68151420668773e-12	"Ipo5"	"70572"	"importin 5"
"ENSMUSG00000003363"	3175.64335120242	1.33959346326469	0.171568543999838	7.80791998366532	5.81394752879022e-15	3.73124786687855e-12	"Pld3"	"18807"	"phospholipase D family, member 3"
"ENSMUSG00000007891"	46815.0914493388	1.41961959635918	0.181846090951041	7.806709448274	5.87003822185636e-15	3.73124786687855e-12	"Ctsd"	"13033"	"cathepsin D"
"ENSMUSG00000036853"	254.087307260624	2.05578602890958	0.265103974116444	7.75464055475305	8.85940515511299e-15	5.43723079140348e-12	"Mcoln3"	"171166"	"mucolipin 3"
"ENSMUSG00000001751"	575.947168689117	1.00231561387666	0.129801418004168	7.72191574859742	1.14594133662497e-14	6.79848796975038e-12	"Naglu"	"27419"	"alpha-N-acetylglucosaminidase (Sanfilippo disease IIIB)"
"ENSMUSG00000071713"	821.749916926156	1.7844827359145	0.231755768226128	7.69984173241096	1.36234861571038e-14	7.82163892335911e-12	"Csf2rb"	"12983"	"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"
"ENSMUSG00000029401"	633.616220184445	0.987289011091786	0.129131697717772	7.64559770018349	2.079769656806e-14	1.15674188599479e-11	"Rilpl2"	"80291"	"Rab interacting lysosomal protein-like 2"
"ENSMUSG00000031266"	839.90322263929	1.42203920094257	0.187500121931813	7.58420413966297	3.34534096282436e-14	1.80425389261661e-11	"Gla"	"11605"	"galactosidase, alpha"
"ENSMUSG00000022797"	946.549895876504	1.78567841633172	0.23630069665045	7.55680555175514	4.13088796850225e-14	2.16239835480597e-11	"Tfrc"	"22042"	"transferrin receptor"
"ENSMUSG00000024413"	1321.31391398752	0.960656533313625	0.127413307251132	7.53968760437376	4.71098625112365e-14	2.39560380849996e-11	"Npc1"	"18145"	"Niemann-Pick type C1"
"ENSMUSG00000001750"	1516.20133493445	1.13301685848192	0.151573497915847	7.47503273369701	7.71846389801887e-14	3.81592279047055e-11	"Tcirg1"	"27060"	"T cell, immune regulator 1, ATPase, H+ transporting, lysosomal V0 protein A3"
"ENSMUSG00000048480"	19.3008967842036	2.62609993081505	0.35264204022765	7.44692813460288	9.55386271090711e-14	4.59566617645202e-11	"Cxcr1"	"227288"	"chemokine (C-X-C motif) receptor 1"
"ENSMUSG00000042770"	593.694166853099	1.039498386572	0.140542718795942	7.39631619110259	1.40014386676115e-13	6.55783172121447e-11	"Hebp1"	"15199"	"heme binding protein 1"
"ENSMUSG00000030105"	2113.8883458371	0.723703627731089	0.098161078521918	7.37261283829004	1.67315869076208e-13	7.63560984055987e-11	"Arl8b"	"67166"	"ADP-ribosylation factor-like 8B"
