id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	symbol	entrezgene	description	xloc
ENSMUST00000021506	3080.32179536993	-2.47225368530078	0.181283379275573	-13.6375088283336	2.39606686923681e-42	3.42421916282633e-38	Serpina3n	20716	serine (or cysteine) peptidase inhibitor, clade A, member 3N	XLOC_007399
ENSMUST00000089332	3607.8606656225	-2.15430586577593	0.174930332469205	-12.3152219250208	7.50085589722347e-35	5.35973658136103e-31	Col8a1	12837	collagen, type VIII, alpha 1	XLOC_013458
ENSMUST00000028102	171.862218310906	-2.69064508043486	0.225627294681787	-11.925175472363	8.74994670919418e-33	4.1681829473698e-29	Kif5c	16574	kinesin family member 5C	XLOC_017599
ENSMUST00000036069	931.464418964752	-2.7401736756196	0.242258545128313	-11.3109474597408	1.1583191057058e-29	4.1383845849104e-26	Mamdc2	71738	MAM domain containing 2	XLOC_016807
ENSMUST00000064821	1431.51292972583	-1.27110636906877	0.120636044119038	-10.5367046669278	5.85134025862784e-26	1.67243007272101e-22	Itgam	16409	integrin alpha M	XLOC_030311
ENSMUST00000081103	1710.86160522026	-1.41933498523323	0.135787772040439	-10.4525979320917	1.42565513624447e-25	3.39567292534496e-22	Fcgr2b	14130	Fc receptor, IgG, low affinity IIb	XLOC_002366
ENSMUST00000061829	553.091596009924	-1.73704286453861	0.168313049260446	-10.3203101136308	5.70386291223478e-25	1.16448435541068e-21	Cd14	12475	CD14 antigen	XLOC_015832
ENSMUST00000090986	610.588816978968	-2.08496295020664	0.213349222414554	-9.77253596994788	1.47707684231375e-22	2.63861314418822e-19	Fcrls	80891	Fc receptor-like S, scavenger receptor	XLOC_021714
ENSMUST00000042610	1158.1749406914	-1.38620347989694	0.143195794756744	-9.68047617775214	3.65011905965269e-22	5.79598349794406e-19	AI607873	226691	expressed sequence AI607873	XLOC_002417
ENSMUST00000160013	923.366316660029	-1.48628621918535	0.154608673310695	-9.61321371795598	7.03192459379237e-22	1.00493234369887e-18	Gng2	14702	guanine nucleotide binding protein (G protein), gamma 2	XLOC_010703
ENSMUST00000077918	371.419324253074	-2.08247281315961	0.216912575933998	-9.60051672519562	7.95446329173235e-22	1.03342940820134e-18	Cfi	12630	complement component factor i	XLOC_021259
ENSMUST00000156647	2891.6000280673	-2.15782975949992	0.225672798725637	-9.56176274537773	1.15767831078821e-21	1.37869839495619e-18	Adam8	11501	a disintegrin and metallopeptidase domain 8	XLOC_032255
ENSMUST00000025582	2788.22836193159	-1.58781564511488	0.167322021698658	-9.48957960820299	2.31967862381535e-21	2.55004055484194e-18	Ms4a6d	68774	membrane-spanning 4-domains, subfamily A, member 6D	XLOC_016726
ENSMUST00000046587	358.898214109398	-1.26134844868759	0.136268058007803	-9.25637649151329	2.11487586728862e-20	2.15883507281583e-17	Scamp5	56807	secretory carrier membrane protein 5	XLOC_035271
ENSMUST00000086763	3751.42321742958	-1.63888220371697	0.178961738994274	-9.15772395220977	5.30033975179126e-20	5.04981035952326e-17	Emr1	13733	EGF-like module containing, mucin-like, hormone receptor-like sequence 1	XLOC_014309
ENSMUST00000098104	1481.54266364062	-1.96828222386612	0.215796940550806	-9.12099225708309	7.44396158868358e-20	6.64885344149232e-17	Cd72	12517	CD72 antigen	XLOC_023918
ENSMUST00000027263	1794.12598114893	-1.28447885851097	0.141655069432159	-9.06765189315115	1.21609370488079e-19	1.02230559626184e-16	Stk17b	98267	serine/threonine kinase 17b (apoptosis-inducing)	XLOC_001588
ENSMUST00000146354	764.361203363793	-1.25365307123614	0.138475916622261	-9.05322096300612	1.38812022432489e-19	1.10209034032372e-16	Ncf1	17969	neutrophil cytosolic factor 1	XLOC_026791
ENSMUST00000102881	5397.15179675526	-1.80138426971405	0.203595589661771	-8.8478550675221	8.92174110862415e-19	6.71055800964988e-16	Plek	56193	pleckstrin	XLOC_005602
ENSMUST00000112170	752.629272055362	-1.45178274991438	0.165650520915455	-8.76413030210356	1.88224029077815e-18	1.34495479977553e-15	Tlr8	170744	toll-like receptor 8	XLOC_038715
ENSMUST00000044895	533.039283276418	-1.69273717086448	0.194946503042692	-8.68308558729974	3.85174332840827e-18	2.50205745028557e-15	Rcan2	53901	regulator of calcineurin 2	XLOC_014198
ENSMUST00000149241	8327.27937703559	-0.791052354313869	0.0910820109534869	-8.68505587473072	3.78556258317348e-18	2.50205745028557e-15	Mcam	84004	melanoma cell adhesion molecule	XLOC_034204
ENSMUST00000050770	292.034695010472	-1.84523042309157	0.214141307490602	-8.6168822106989	6.8801847469576e-18	4.27498783559874e-15	C5ar1	12273	complement component 5a receptor 1	XLOC_030738
ENSMUST00000099126	752.551832139269	-1.09568360315733	0.128355474615243	-8.53632154329012	1.38562421545907e-17	7.92078226525021e-15	Mafb	16658	v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)	XLOC_020322
ENSMUST00000031171	371.878565278219	-1.79139494977441	0.209850889537238	-8.53651349167398	1.38332535270698e-17	7.92078226525021e-15	Stap1	56792	signal transducing adaptor family member 1	XLOC_025419
ENSMUST00000052172	1178.99221969464	-1.88732565055464	0.221794126469692	-8.5093581177973	1.74898865369555e-17	9.61338340383196e-15	Cxcr4	12767	chemokine (C-X-C motif) receptor 4	XLOC_002064
ENSMUST00000025561	22065.6343031884	-1.12512960196221	0.133275289779578	-8.44214710636195	3.1156090206734e-17	1.64908031534976e-14	Anxa1	16952	annexin A1	XLOC_016797
ENSMUST00000024791	4209.25385426117	-1.75882435320814	0.212091176012939	-8.29277476919099	1.10636714549645e-16	5.45210099182407e-14	Trem2	83433	triggering receptor expressed on myeloid cells 2	XLOC_014257
