id	baseMean	symbol	entrezgene	description	xloc	type	group1_vs_group2_log2FoldChange	group1_vs_group2_pvalue	group1_vs_group2_padj	group1_vs_group3_log2FoldChange	group1_vs_group3_pvalue	group1_vs_group3_padj	group1_vs_group4_log2FoldChange	group1_vs_group4_pvalue	group1_vs_group4_padj	group2_vs_group3_log2FoldChange	group2_vs_group3_pvalue	group2_vs_group3_padj	group2_vs_group4_log2FoldChange	group2_vs_group4_pvalue	group2_vs_group4_padj	group3_vs_group4_log2FoldChange	group3_vs_group4_pvalue	group3_vs_group4_padj
ENSMUST00000000188	6412.90659283254	Ccnd2	12444	cyclin D2	XLOC_028814	protein_coding	0.0703047607075761	0.624400423684066	0.896360087842284	0.38865646202454	0.00682763893752362	0.0291091253150806	0.1451871392656	0.312199994328012	0.559831249354502	0.318351701316964	0.0266952959481669	0.0885361973532729	0.0748823785580234	0.602175651610877	0.838346081797257	-0.243469322758941	0.0902922281158957	0.358136617264576
ENSMUST00000000299	5740.49130024893	Itgb2	16414	integrin beta 2	XLOC_002909	protein_coding	-1.31895351858333	5.63199210632784e-12	1.27756824113542e-09	-3.8586344584737	9.51710746231208e-91	8.50056142149387e-88	-2.55791956172375	8.03217571682442e-41	3.82626077230459e-38	-2.53968093989038	9.96614703615973e-41	9.49508048625058e-38	-1.23896604314043	7.38144109514419e-11	9.50343916132483e-09	1.30071489674995	7.18318497374849e-12	1.55537721908848e-09
ENSMUST00000000514	1427.310505235	Serpinb8	20725	serine (or cysteine) peptidase inhibitor, clade B, member 8	XLOC_000755	protein_coding	0.0226967831853567	0.86868274348208	0.972941926143982	-0.229925744431507	0.0934780877389182	0.216497510641063	-0.15816085283113	0.249543462735628	0.493384059988121	-0.252622527616864	0.065141112176009	0.172203409934766	-0.180857636016487	0.187609817191732	0.490202369458049	0.0717648916003769	0.600535728971643	0.859190594757661
ENSMUST00000000984	1322.41956095658	Slc7a7	20540	solute carrier family 7 (cationic amino acid transporter, y+ system), member 7	XLOC_011028	protein_coding	-0.468609395610565	0.00234613276150146	0.0412405698580779	-1.63272338203171	1.44587768758804e-26	5.77179833332979e-25	-0.920860197861607	2.12583517336598e-09	5.9686268099358e-08	-1.16411398642114	2.00196168594539e-14	7.39277376068362e-13	-0.452250802251042	0.00309764410981438	0.0349395674612133	0.7118631841701	2.79105345796539e-06	0.000114289240595368
ENSMUST00000001080	317.294636671941	N4bp3	212706	NEDD4 binding protein 3	XLOC_005853	protein_coding	-0.639024656594924	0.00702863187653514	0.0894398427988267	-0.637121123843744	0.00722769316295003	0.0305775497311187	-1.43204707020947	1.32813649392739e-09	3.81899368907773e-08	0.00190353275118002	0.993542721250723	0.997590021488345	-0.793022413614546	0.000707532313814663	0.010791189217423	-0.794925946365726	0.000691085011618399	0.0113520642540673
ENSMUST00000001126	154.446836523796	Slc46a1	52466	solute carrier family 46, member 1	XLOC_004872	protein_coding	-0.136407753289966	0.613050467478718	0.891617020570585	-0.511648200212689	0.0570900833854299	0.151128564983795	-0.139138121291072	0.606959903217333	0.792854174548553	-0.375240446922723	0.161712721630717	0.321838542257649	-0.00273036800110645	0.991923308976105	0.997068949798439	0.372510078921617	0.165980105193008	0.499478139253164
ENSMUST00000001156	2355.69160162227	Cfp	18636	complement factor properdin	XLOC_037644	protein_coding	-1.18294899636604	7.43331603644166e-12	1.58551521607146e-09	-3.17831299616344	2.21220410591825e-76	8.78183579935492e-74	-2.06638218083033	3.85220991423277e-33	8.60186435692196e-31	-1.99536399979739	8.83174681055196e-32	2.42720180133842e-29	-0.883433184464282	2.22261479537069e-07	1.08407467715503e-05	1.11193081533311	5.60846520034913e-11	9.65669592508307e-09
ENSMUST00000002885	947.217361808397	Epdr1	105298	ependymin related protein 1 (zebrafish)	XLOC_009043	protein_coding	0.0982567710621553	0.526917448571405	0.857243691847779	0.282139644506073	0.0698467640634264	0.176139069213063	-0.108927266306687	0.483194629418388	0.706576604222612	0.183882873443917	0.237320512521624	0.417267156058874	-0.207184037368842	0.182255093188816	0.483678279807125	-0.391066910812759	0.0119964601850902	0.102048459824479
ENSMUST00000003049	844.517763872206	Med25	75613	mediator complex subunit 25	XLOC_031210	protein_coding	-0.318340521037418	0.0197029367877966	0.177018402629313	0.0137402083387718	0.920213037548555	0.957184985778178	-0.243764341234248	0.0753139191787738	0.232715939239753	0.33208072937619	0.0149246225473742	0.0569374748597237	0.0745761798031706	0.584290942352577	0.828547515098302	-0.25750454957302	0.0601054562988468	0.28265151115237
ENSMUST00000003459	1061.51300305436	Myo1g	246177	myosin IG	XLOC_005547	protein_coding	-0.685482209296444	8.06295599737538e-05	0.00313118761300249	-2.55104806189238	9.21728799232392e-50	1.07092896502684e-47	-1.68641551861229	1.69871857501531e-22	1.53648019971796e-20	-1.86556585259594	5.37545981879872e-28	9.14532098457768e-26	-1.00093330931584	4.71380001342702e-09	3.80592745716868e-07	0.864632543280094	3.11392856167464e-07	1.71819123841283e-05
ENSMUST00000003574	566.110582644093	Cyp4f18	72054	cytochrome P450, family 4, subfamily f, polypeptide 18	XLOC_033546	protein_coding	-1.34630466711516	6.57969874671631e-11	1.17538093486654e-08	-2.51455913382946	1.23397558945885e-34	6.73081875914369e-33	-1.60719020572809	6.39092678418305e-15	3.02426273750861e-13	-1.1682544667143	5.69642621993614e-09	1.11977478829584e-07	-0.260885538612935	0.196276198905833	0.502955560079479	0.907368928101366	6.04053996980257e-06	0.000221916084083415
